Modulo;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;T1;T2;T3;T4;T5;T6;T7;T8;T9
M01;3.75;3.83;3.92;3.92;3.92;3.92;3.95;3.95;3.95;3.95;3.94;29.0;29.1;28.8;29.0;28.7;28.9;28.8;28.9;29.0
M02;3.36;3.97;3.97;3.97;3.97;3.97;3.90;3.95;3.69;3.95;3.98;29.1;29.2;28.8;28.9;28.9;28.8;28.8;29.0;29.0
M03;4.00;4.01;4.01;4.00;4.01;4.01;3.97;3.98;3.98;3.98;4.03;28.9;29.0;28.8;29.0;28.9;28.8;28.8;29.0;29.0
M04;3.94;3.94;3.94;3.94;3.90;3.94;3.92;3.98;3.99;3.98;3.98;29.0;-17.6;28.9;29.0;29.0;29.0;28.9;29.0;29.1
M05;3.97;3.90;3.97;3.97;3.97;3.97;4.00;4.00;4.00;4.00;4.00;28.9;29.1;29.0;29.0;29.0;28.9;29.1;29.2;29.2
M06;3.96;3.94;3.97;3.97;3.97;3.97;3.99;3.98;3.98;3.98;3.98;29.1;29.2;27.5;29.0;29.0;29.1;29.3;29.3;29.3
M07;3.99;3.99;3.99;3.99;3.99;3.65;4.00;3.77;4.00;4.00;4.00;-1050421888.0;28.9;29.4;29.1;28.9;29.1;98.7;29.5;29.6
M08;3.98;3.98;3.98;3.97;3.98;3.97;3.98;3.98;3.99;3.99;3.98;29.1;29.3;29.1;29.0;29.1;29.2;29.5;29.5;29.2
M09;4.02;3.97;3.97;3.99;4.02;4.02;3.99;3.99;3.99;3.99;3.99;ovf;28.9;29.5;29.2;29.1;28.9;98.5;29.5;29.5
M10;4.02;4.02;4.02;4.02;4.02;4.02;4.03;4.03;4.03;4.03;4.03;29.0;29.2;29.1;29.1;29.2;29.2;29.3;29.2;29.2
M11;3.91;4.00;4.00;4.00;4.00;4.00;3.97;4.01;4.01;4.00;4.01;29.0;29.1;29.0;29.0;29.1;29.0;29.2;29.1;29.2
M12;3.95;3.94;3.95;3.95;3.95;3.95;3.95;3.94;3.94;3.94;3.94;29.6; -873357248.0; 29.6; -873357248.0; 29.6; 29.5; 29.5; 29.8; 29.9
